Statistics results for Wed Apr 11 15:39:29 AST 2018
Dataset: F:\NAIMA\miRNA_15_2_2018\anamiR_trail\test_workflow\trial_11_4_2018_lumi_gene_7_f_01\miRNA_f_01_7\stat_integreated_miRNA_F_1.5_P_0.01_05.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Mus_musculus_Curation-AnalysisCollection__gpml_2017
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Mm_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: ( [Fold.Change]  >=1.5  OR  [Fold.Change] <=-1.5) AND  [P.Value]  <= 0.01  AND  [miRNA_cor] =2 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 2926
Data points meeting criterion (R): 14

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Gene regulatory network modelling somitogenesis 	1	4	12	25.00%	7.11	0.001
Histone modifications	1	4	6	25.00%	7.11	0.011
Notch Signaling Pathway	2	26	47	7.69%	5.35	0.001
Kennedy pathway	1	11	34	9.09%	4.15	0.005
Neural Crest Differentiation	2	42	102	4.76%	4.05	0.004
Estrogen signaling	2	51	77	3.92%	3.59	0.015
Delta-Notch Signaling Pathway	2	53	85	3.77%	3.51	0.014
Mitochondrial Gene Expression	1	16	23	6.25%	3.35	0.046
IL-9 Signaling Pathway	1	18	25	5.56%	3.13	0.063
EPO Receptor Signaling	1	19	27	5.26%	3.03	0.057
IL-6 signaling Pathway	2	71	100	2.82%	2.89	0.020
p38 MAPK Signaling Pathway	1	24	35	4.17%	2.63	0.076
IL-3 Signaling Pathway	2	83	101	2.41%	2.59	0.014
PluriNetWork	3	173	292	1.73%	2.47	0.019
Signaling of Hepatocyte Growth Factor Receptor	1	27	35	3.70%	2.44	0.070
ErbB signaling pathway	1	28	47	3.57%	2.38	0.095
IL-7 Signaling Pathway	1	31	45	3.23%	2.23	0.093
Odorant GPCRs	1	32	225	3.13%	2.18	0.052
Alpha6-Beta4 Integrin Signaling Pathway	1	43	68	2.33%	1.77	0.146
Primary Focal Segmental Glomerulosclerosis FSGS	1	46	77	2.17%	1.68	0.156
Kit Receptor Signaling Pathway	1	50	68	2.00%	1.57	0.135
IL-2 Signaling Pathway	1	52	77	1.92%	1.52	0.148
IL-5 Signaling Pathway	1	52	70	1.92%	1.52	0.150
Alzheimers Disease	1	54	91	1.85%	1.48	0.166
ESC Pluripotency Pathways	1	62	125	1.61%	1.31	0.203
Integrin-mediated Cell Adhesion	1	70	102	1.43%	1.17	0.190
Adipogenesis genes	1	89	133	1.12%	0.90	0.272
Calcium Regulation in the Cardiac Cell	1	90	161	1.11%	0.88	0.296
MAPK signaling pathway	1	109	161	0.92%	0.68	0.294
Insulin Signaling	1	110	161	0.91%	0.67	0.292
Chemokine signaling pathway	1	113	199	0.88%	0.64	0.887
Focal Adhesion	1	120	186	0.83%	0.58	0.995
EGFR1 Signaling Pathway	1	131	177	0.76%	0.48	0.999
TNF-alpha NF-kB Signaling Pathway	1	137	185	0.73%	0.44	0.999
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	1	196	333	0.51%	0.07	0.999
Amino acid conjugation of benzoic acid	0	1	12	0.00%	-0.07	0.992
Biogenic Amine Synthesis	0	1	33	0.00%	-0.07	0.999
